epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
1,1.529155,0.640900,0.619800,0.081250,0.00060750,1,57.00
2,0.186404,0.754000,0.633900,0.156250,0.00170100,1,58.38
3,0.163037,0.755933,0.639200,0.243750,0.00279450,1,57.53
4,0.219670,0.734067,0.633500,0.218750,0.00388799,0,58.86
5,0.271306,0.723167,0.700600,0.100000,0.00498149,0,58.60
6,0.290765,0.726400,0.660700,0.075000,0.00495659,0,59.23
7,0.198831,0.767967,0.497800,0.018750,0.00493180,0,58.03
8,0.147998,0.801633,0.679100,0.225000,0.00490714,0,59.56
9,0.137992,0.812167,0.713500,0.287500,0.00488261,1,59.63
10,0.128549,0.826667,0.739400,0.237500,0.00485819,0,58.06
11,0.105448,0.847267,0.765900,0.362500,0.00483390,1,58.05
12,0.117072,0.837000,0.599200,0.034375,0.00480973,0,59.11
13,0.114324,0.845367,0.742300,0.206250,0.00478569,0,56.35
14,0.102729,0.853000,0.530600,0.062500,0.00476176,0,56.52
15,0.113294,0.848167,0.799900,0.331250,0.00473795,0,56.26
16,0.091162,0.869233,0.673200,0.246875,0.00471426,0,58.89
17,0.099572,0.864033,0.658200,0.234375,0.00469069,0,56.34
18,0.091721,0.872600,0.792300,0.337500,0.00466723,0,56.31
19,0.082430,0.882300,0.603300,0.090625,0.00464390,0,56.49
20,0.075411,0.892833,0.525900,0.037500,0.00462068,0,56.43
21,0.080876,0.889067,0.704200,0.328125,0.00459757,0,56.43
22,0.074993,0.897033,0.839000,0.412500,0.00457459,1,58.75
23,0.072780,0.897800,0.826000,0.403125,0.00455171,0,56.94
24,0.069469,0.900600,0.852200,0.453125,0.00452896,1,56.38
25,0.062817,0.910800,0.836500,0.378125,0.00450631,0,56.13
26,0.065628,0.908200,0.654500,0.312500,0.00448378,0,56.34
27,0.071668,0.905533,0.708300,0.396875,0.00446136,0,56.25
28,0.060624,0.914600,0.860400,0.493750,0.00443905,1,56.22
29,0.060735,0.916367,0.640400,0.256250,0.00441686,0,56.27
30,0.059017,0.918367,0.845700,0.512500,0.00439477,1,56.28
31,0.050633,0.926800,0.738100,0.421875,0.00437280,0,56.30
32,0.047205,0.932867,0.848400,0.462500,0.00435094,0,56.29
33,0.047419,0.932800,0.873700,0.528125,0.00432918,1,56.19
34,0.048116,0.931967,0.741300,0.412500,0.00430754,0,56.46
35,0.047289,0.931833,0.857800,0.528125,0.00428600,0,56.19
36,0.044928,0.935600,0.883000,0.556250,0.00426457,1,56.38
37,0.043141,0.938600,0.779600,0.503125,0.00424324,0,56.20
38,0.041029,0.941700,0.744100,0.509375,0.00422203,0,56.37
39,0.037897,0.947133,0.710100,0.409375,0.00420092,0,56.22
40,0.038081,0.945567,0.900000,0.656250,0.00417991,1,58.07
41,0.037004,0.948767,0.915300,0.612500,0.00415901,0,62.66
42,0.035834,0.950233,0.852800,0.537500,0.00413822,0,61.11
43,0.033870,0.952233,0.900100,0.575000,0.00411753,0,57.25
44,0.032985,0.953633,0.873100,0.521875,0.00409694,0,56.82
45,0.030131,0.960400,0.917600,0.609375,0.00407646,0,56.84
46,0.029668,0.958633,0.883800,0.568750,0.00405607,0,56.92
47,0.029252,0.960700,0.922100,0.593750,0.00403579,0,56.58
48,0.030393,0.958833,0.882400,0.650000,0.00401561,0,56.90
49,0.027942,0.961167,0.933400,0.659375,0.00399554,1,56.57
50,0.028987,0.960300,0.885000,0.603125,0.00397556,0,56.68
51,0.025270,0.966433,0.900300,0.637500,0.00395568,0,57.70
52,0.022823,0.969567,0.895200,0.606250,0.00393590,0,58.42
53,0.025323,0.965533,0.924500,0.621875,0.00391622,0,57.34
54,0.025319,0.967167,0.905100,0.662500,0.00389664,1,57.16
55,0.023511,0.969500,0.935400,0.681250,0.00387716,1,57.35
56,0.024137,0.968867,0.940800,0.662500,0.00385777,0,58.71
57,0.021328,0.971600,0.932800,0.693750,0.00383848,1,57.98
58,0.021313,0.972867,0.933300,0.659375,0.00381929,0,59.34
59,0.019904,0.974100,0.928300,0.665625,0.00380019,0,61.00
60,0.021110,0.973567,0.934400,0.656250,0.00378119,0,62.66
61,0.020102,0.973633,0.950800,0.709375,0.00376229,1,64.30
62,0.019443,0.974800,0.942400,0.656250,0.00374348,0,64.01
63,0.019308,0.975200,0.935700,0.662500,0.00372476,0,62.69
64,0.019506,0.975967,0.938300,0.712500,0.00370614,1,58.94
65,0.016856,0.978633,0.940600,0.709375,0.00368760,0,59.12
66,0.017644,0.977733,0.942900,0.675000,0.00366917,0,57.93
67,0.018564,0.976533,0.945300,0.721875,0.00365082,1,57.80
68,0.017716,0.978400,0.948300,0.709375,0.00363257,0,57.94
69,0.016984,0.979700,0.940100,0.696875,0.00361440,0,60.17
70,0.016851,0.978233,0.947900,0.734375,0.00359633,1,58.07
71,0.015876,0.981867,0.939500,0.712500,0.00357835,0,56.94
72,0.015533,0.982467,0.938700,0.653125,0.00356046,0,58.73
73,0.015175,0.980433,0.951600,0.706250,0.00354266,0,57.40
74,0.013855,0.983267,0.948800,0.737500,0.00352494,1,57.49
75,0.014428,0.982900,0.951000,0.725000,0.00350732,0,57.69
76,0.014696,0.981900,0.948500,0.725000,0.00348978,0,58.22
77,0.014068,0.983567,0.949400,0.715625,0.00347233,0,57.26
78,0.014616,0.982967,0.950600,0.740625,0.00345497,1,57.95
79,0.014104,0.983400,0.946000,0.765625,0.00343770,1,59.65
80,0.012667,0.984500,0.952500,0.712500,0.00342051,0,58.68
81,0.014233,0.982900,0.948100,0.728125,0.00340340,0,58.76
82,0.012843,0.985000,0.949200,0.756250,0.00338639,0,59.19
83,0.011054,0.986833,0.949700,0.750000,0.00336946,0,57.29
84,0.012243,0.985900,0.946100,0.725000,0.00335261,0,57.52
85,0.012817,0.985600,0.950600,0.750000,0.00333585,0,58.09
86,0.011531,0.986800,0.950800,0.709375,0.00331917,0,57.39
87,0.012625,0.985767,0.949800,0.737500,0.00330257,0,57.56
88,0.012009,0.986700,0.947500,0.725000,0.00328606,0,56.91
89,0.011272,0.987067,0.947700,0.737500,0.00326963,0,58.04
90,0.012153,0.985867,0.935700,0.728125,0.00325328,0,57.30
91,0.011349,0.986800,0.935500,0.703125,0.00323701,0,58.82
92,0.012077,0.986333,0.933400,0.706250,0.00322083,0,58.01
93,0.012833,0.985000,0.952100,0.734375,0.00320472,0,58.48
94,0.011608,0.986500,0.948000,0.734375,0.00318870,0,58.12
95,0.011865,0.987100,0.938500,0.734375,0.00317276,0,56.51
96,0.009602,0.988967,0.951500,0.750000,0.00315689,0,56.41
97,0.010891,0.987667,0.935900,0.737500,0.00314111,0,56.16
98,0.010383,0.987733,0.952100,0.765625,0.00312540,0,56.27
99,0.010196,0.988333,0.947300,0.743750,0.00310978,0,56.35
100,0.010711,0.988167,0.957600,0.781250,0.00309423,1,56.52
101,0.009310,0.990767,0.956100,0.781250,0.00307876,0,56.21
