epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
1,1.415868,0.645233,0.568800,0.178125,0.00096294,1,55.32
2,0.179234,0.754033,0.744100,0.234375,0.00269622,1,55.49
3,0.157563,0.755267,0.522000,0.050000,0.00442951,0,55.72
4,0.249973,0.719067,0.502500,0.018750,0.00616280,0,55.61
5,0.243081,0.731967,0.684400,0.187500,0.00789608,0,55.63
6,0.206838,0.753133,0.732700,0.243750,0.00785660,1,55.53
7,0.167815,0.780900,0.541900,0.125000,0.00781732,0,55.55
8,0.136526,0.809133,0.647000,0.115625,0.00777823,0,55.44
9,0.112138,0.834100,0.711200,0.253125,0.00773934,1,55.55
10,0.100725,0.850500,0.566000,0.259375,0.00770064,1,55.46
11,0.086458,0.866867,0.614100,0.243750,0.00766214,0,55.53
12,0.102363,0.855433,0.778900,0.296875,0.00762383,1,55.47
13,0.088521,0.870900,0.752900,0.284375,0.00758571,0,55.56
14,0.078746,0.881833,0.706900,0.309375,0.00754778,1,55.51
15,0.077495,0.884700,0.851100,0.415625,0.00751004,1,55.55
16,0.074244,0.892133,0.757000,0.328125,0.00747249,0,55.49
17,0.073688,0.890767,0.823800,0.393750,0.00743513,0,55.53
18,0.069304,0.897933,0.598300,0.253125,0.00739796,0,55.55
19,0.060958,0.910333,0.800800,0.387500,0.00736097,0,55.52
20,0.057205,0.916167,0.846200,0.443750,0.00732416,1,55.52
21,0.059224,0.915000,0.857100,0.475000,0.00728754,1,55.52
22,0.054071,0.921333,0.888700,0.481250,0.00725110,1,55.50
23,0.054026,0.921333,0.590000,0.321875,0.00721485,0,55.24
24,0.047326,0.930900,0.829800,0.490625,0.00717877,1,56.99
25,0.045776,0.933400,0.835200,0.428125,0.00714288,0,55.69
26,0.047590,0.932233,0.849000,0.509375,0.00710716,1,55.68
27,0.045508,0.933567,0.914300,0.565625,0.00707163,1,55.71
28,0.042611,0.940433,0.855900,0.506250,0.00703627,0,55.33
29,0.040594,0.941667,0.867600,0.531250,0.00700109,0,55.46
30,0.041572,0.942067,0.839300,0.487500,0.00696608,0,55.34
31,0.040061,0.943933,0.877900,0.515625,0.00693125,0,55.47
32,0.037713,0.947767,0.886900,0.518750,0.00689660,0,55.38
33,0.037034,0.950133,0.919000,0.575000,0.00686211,1,55.52
34,0.037040,0.946767,0.911800,0.565625,0.00682780,0,55.36
35,0.035293,0.949967,0.905500,0.596875,0.00679366,1,55.51
36,0.034803,0.951167,0.899800,0.565625,0.00675970,0,55.43
37,0.033496,0.952833,0.918600,0.584375,0.00672590,0,55.49
38,0.031073,0.955933,0.929700,0.625000,0.00669227,1,55.33
39,0.031836,0.955333,0.930500,0.637500,0.00665881,1,55.48
40,0.031189,0.958300,0.936400,0.640625,0.00662551,1,57.52
41,0.029681,0.960367,0.939500,0.625000,0.00659239,0,57.81
42,0.028622,0.961033,0.932900,0.665625,0.00655942,1,58.27
43,0.027514,0.962300,0.936100,0.656250,0.00652663,0,57.29
44,0.027186,0.962267,0.922500,0.678125,0.00649399,1,57.40
45,0.023912,0.968567,0.937500,0.662500,0.00646152,0,57.85
46,0.023613,0.968167,0.931400,0.643750,0.00642922,0,57.17
47,0.023932,0.968767,0.932200,0.646875,0.00639707,0,57.25
48,0.023182,0.968367,0.938100,0.718750,0.00636508,1,57.27
49,0.023968,0.967767,0.935400,0.690625,0.00633326,0,57.22
50,0.024002,0.967733,0.925300,0.646875,0.00630159,0,57.07
51,0.021520,0.972767,0.945400,0.728125,0.00627008,1,57.08
52,0.019580,0.974467,0.937700,0.643750,0.00623873,0,57.08
53,0.019761,0.974467,0.943100,0.665625,0.00620754,0,57.20
54,0.019540,0.974600,0.940400,0.687500,0.00617650,0,57.10
55,0.019397,0.975933,0.949600,0.706250,0.00614562,0,57.15
56,0.018983,0.976500,0.949200,0.734375,0.00611489,1,57.09
57,0.017572,0.976633,0.944900,0.687500,0.00608432,0,57.19
58,0.017719,0.977467,0.930300,0.715625,0.00605390,0,57.19
59,0.016978,0.978633,0.941600,0.690625,0.00602363,0,57.09
60,0.016933,0.978633,0.946300,0.693750,0.00599351,0,57.09
61,0.016485,0.979400,0.953400,0.753125,0.00596354,1,57.10
62,0.015201,0.981233,0.944300,0.734375,0.00593372,0,57.47
63,0.015680,0.981100,0.953900,0.743750,0.00590405,0,57.34
64,0.015912,0.980600,0.952200,0.712500,0.00587453,0,57.34
65,0.014253,0.982733,0.958400,0.756250,0.00584516,1,57.25
66,0.014162,0.982833,0.951800,0.756250,0.00581594,0,57.15
67,0.015339,0.981067,0.954400,0.784375,0.00578686,1,57.33
68,0.013576,0.984467,0.958500,0.775000,0.00575792,0,57.15
69,0.014099,0.983133,0.949700,0.775000,0.00572913,0,57.34
70,0.013479,0.983700,0.953200,0.784375,0.00570049,0,57.16
71,0.013696,0.983467,0.952900,0.756250,0.00567198,0,57.22
72,0.012086,0.985800,0.955700,0.762500,0.00564362,0,57.15
73,0.012690,0.986333,0.949500,0.746875,0.00561541,0,57.25
74,0.011182,0.985867,0.956100,0.740625,0.00558733,0,57.09
75,0.011613,0.986600,0.952300,0.771875,0.00555939,0,56.42
76,0.012119,0.985067,0.941600,0.709375,0.00553160,0,58.11
77,0.011266,0.986700,0.946200,0.762500,0.00550394,0,57.49
78,0.011518,0.987033,0.947000,0.746875,0.00547642,0,57.73
79,0.011868,0.985967,0.960200,0.740625,0.00544904,0,58.47
80,0.010241,0.988067,0.959400,0.768750,0.00542179,0,58.93
81,0.011100,0.987467,0.949600,0.784375,0.00539468,0,57.77
82,0.010048,0.987967,0.954300,0.793750,0.00536771,1,57.61
83,0.010135,0.988133,0.950200,0.750000,0.00534087,0,58.99
84,0.011031,0.987167,0.953500,0.746875,0.00531417,0,58.99
85,0.011033,0.987133,0.954900,0.784375,0.00528759,0,59.79
86,0.009901,0.988433,0.949700,0.759375,0.00526116,0,58.23
87,0.010728,0.987567,0.955300,0.790625,0.00523485,0,58.55
