epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
1,1.483230,0.645000,0.552300,0.050000,0.00079962,1,57.63
2,0.182233,0.745067,0.693400,0.228125,0.00223893,1,57.94
3,0.192965,0.741000,0.621400,0.231250,0.00367825,1,58.01
4,0.275979,0.713533,0.636500,0.081250,0.00511756,0,57.55
5,0.239765,0.732633,0.630900,0.068750,0.00655688,0,57.65
6,0.238210,0.742067,0.537400,0.043750,0.00652409,0,57.49
7,0.171023,0.775133,0.759600,0.271875,0.00649147,1,57.77
8,0.139958,0.802700,0.723700,0.325000,0.00645902,1,58.64
9,0.106121,0.836667,0.780500,0.284375,0.00642672,0,58.64
10,0.112593,0.840600,0.797300,0.328125,0.00639459,1,57.57
11,0.115466,0.837133,0.765900,0.334375,0.00636261,1,58.28
12,0.100034,0.856533,0.761600,0.281250,0.00633080,0,59.10
13,0.093683,0.865900,0.739600,0.337500,0.00629915,1,58.37
14,0.092979,0.869300,0.692700,0.187500,0.00626765,0,59.32
15,0.080410,0.880800,0.788100,0.343750,0.00623631,1,58.40
16,0.079252,0.884767,0.767500,0.325000,0.00620513,0,57.84
17,0.073138,0.893167,0.673600,0.268750,0.00617411,0,58.68
18,0.071832,0.895800,0.826300,0.396875,0.00614324,1,57.55
19,0.067441,0.902333,0.805100,0.425000,0.00611252,1,57.35
20,0.066427,0.904267,0.861900,0.468750,0.00608196,1,57.29
21,0.067549,0.904267,0.847700,0.434375,0.00605155,0,57.44
22,0.068409,0.903767,0.691400,0.421875,0.00602129,0,57.57
23,0.059542,0.915933,0.864800,0.475000,0.00599118,1,57.61
24,0.056738,0.920000,0.699600,0.378125,0.00596123,0,56.88
25,0.050858,0.926567,0.827700,0.465625,0.00593142,0,57.40
26,0.049743,0.928800,0.849600,0.450000,0.00590176,0,57.33
27,0.052325,0.926267,0.826700,0.487500,0.00587225,1,57.34
28,0.051388,0.929267,0.917400,0.528125,0.00584289,1,57.48
29,0.043322,0.938267,0.743900,0.421875,0.00581368,0,57.78
30,0.045941,0.935300,0.885200,0.503125,0.00578461,0,58.22
31,0.042055,0.940733,0.914300,0.578125,0.00575569,1,58.05
32,0.041164,0.942300,0.895200,0.587500,0.00572691,1,57.62
33,0.038301,0.946567,0.914200,0.543750,0.00569827,0,58.69
34,0.038136,0.946367,0.886600,0.578125,0.00566978,0,57.74
35,0.037555,0.948800,0.924500,0.609375,0.00564143,1,57.94
36,0.035789,0.950967,0.935600,0.640625,0.00561323,1,58.42
37,0.034005,0.953433,0.925700,0.581250,0.00558516,0,58.41
38,0.030186,0.957700,0.935500,0.653125,0.00555723,1,57.70
39,0.029800,0.958900,0.929600,0.637500,0.00552945,0,58.78
40,0.030578,0.958533,0.930600,0.631250,0.00550180,0,57.48
41,0.030063,0.958567,0.943300,0.656250,0.00547429,1,57.90
42,0.027045,0.963533,0.858500,0.537500,0.00544692,0,57.13
43,0.026933,0.963667,0.935200,0.625000,0.00541969,0,57.14
44,0.025581,0.966000,0.950200,0.665625,0.00539259,1,56.52
45,0.023276,0.969767,0.944900,0.678125,0.00536562,1,56.47
46,0.023783,0.969433,0.946500,0.709375,0.00533880,1,56.40
47,0.022821,0.970033,0.930800,0.662500,0.00531210,0,56.60
48,0.022096,0.970367,0.941900,0.703125,0.00528554,0,56.42
49,0.020698,0.974000,0.930400,0.675000,0.00525911,0,57.37
50,0.021559,0.970900,0.943700,0.690625,0.00523282,0,57.63
51,0.019845,0.973800,0.952200,0.721875,0.00520665,1,57.46
52,0.019453,0.975433,0.946100,0.743750,0.00518062,1,57.33
53,0.019086,0.975967,0.955000,0.703125,0.00515472,0,57.71
54,0.018731,0.975200,0.942000,0.731250,0.00512895,0,56.89
55,0.017908,0.976700,0.946400,0.706250,0.00510330,0,58.10
56,0.017680,0.977300,0.946600,0.778125,0.00507778,1,58.05
57,0.015833,0.979900,0.939600,0.762500,0.00505239,0,59.32
58,0.017133,0.977367,0.950600,0.740625,0.00502713,0,57.58
59,0.015028,0.981567,0.949500,0.715625,0.00500200,0,59.29
60,0.016155,0.980433,0.944900,0.743750,0.00497699,0,59.74
61,0.015134,0.982333,0.950900,0.750000,0.00495210,0,60.37
62,0.015070,0.981000,0.956000,0.721875,0.00492734,0,58.97
63,0.015222,0.981700,0.949500,0.731250,0.00490271,0,60.65
64,0.015657,0.981333,0.951700,0.731250,0.00487819,0,57.57
