epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
1,1.465396,0.648667,0.497800,0.006250,0.00111184,1,55.23
2,0.187654,0.748733,0.731200,0.231250,0.00311316,1,55.60
3,0.178599,0.744767,0.701700,0.075000,0.00511447,0,55.41
4,0.236029,0.724333,0.534900,0.009375,0.00711579,0,55.30
5,0.236823,0.734700,0.547900,0.081250,0.00911710,0,55.35
6,0.250109,0.748033,0.680100,0.140625,0.00907152,0,55.35
7,0.149789,0.798267,0.586100,0.115625,0.00902616,0,55.29
8,0.140198,0.811400,0.718000,0.171875,0.00898103,0,55.38
9,0.122884,0.828267,0.778700,0.328125,0.00893612,1,55.38
10,0.101115,0.852833,0.773900,0.318750,0.00889144,0,55.57
11,0.105510,0.852733,0.819400,0.334375,0.00884698,1,55.38
12,0.085119,0.871500,0.826300,0.406250,0.00880275,1,55.68
13,0.089183,0.871800,0.625100,0.168750,0.00875874,0,55.40
14,0.079698,0.883733,0.802800,0.375000,0.00871494,0,55.27
15,0.073265,0.890567,0.740800,0.365625,0.00867137,0,55.41
16,0.077868,0.889800,0.835300,0.406250,0.00862801,0,55.31
17,0.064660,0.902067,0.741800,0.356250,0.00858487,0,55.37
18,0.066389,0.903433,0.776600,0.368750,0.00854195,0,55.37
19,0.057210,0.917233,0.830000,0.468750,0.00849924,1,55.34
20,0.058496,0.915133,0.672100,0.181250,0.00845674,0,55.68
21,0.053070,0.923600,0.627600,0.412500,0.00841446,0,55.36
22,0.053576,0.923067,0.857500,0.465625,0.00837238,0,55.31
23,0.051995,0.925567,0.827800,0.528125,0.00833052,1,55.38
24,0.046641,0.932800,0.829400,0.525000,0.00828887,0,55.65
25,0.044087,0.935667,0.906500,0.571875,0.00824743,1,55.37
26,0.048829,0.932900,0.910400,0.565625,0.00820619,0,55.28
27,0.041383,0.940833,0.925300,0.581250,0.00816516,1,55.38
28,0.040308,0.944600,0.918900,0.600000,0.00812433,1,55.33
29,0.038634,0.945167,0.901700,0.562500,0.00808371,0,55.37
30,0.039063,0.944700,0.917000,0.578125,0.00804329,0,55.33
31,0.035206,0.950967,0.918400,0.587500,0.00800308,0,55.35
32,0.034333,0.952933,0.920800,0.631250,0.00796306,1,55.38
33,0.033323,0.953933,0.929600,0.690625,0.00792324,1,55.72
34,0.031747,0.956033,0.916000,0.656250,0.00788363,0,55.35
