epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
1,1.345540,0.640867,0.621300,0.125000,0.00059052,1,55.19
2,0.195882,0.736167,0.725900,0.178125,0.00165345,1,55.69
3,0.183755,0.734633,0.664500,0.053125,0.00271638,0,55.72
4,0.281323,0.705033,0.597100,0.171875,0.00377931,0,55.40
5,0.296737,0.712567,0.666900,0.103125,0.00484224,0,55.40
6,0.228097,0.733233,0.647000,0.240625,0.00481803,1,55.36
7,0.270201,0.729700,0.573900,0.090625,0.00479394,0,55.41
8,0.161697,0.781367,0.779200,0.268750,0.00476997,1,55.47
9,0.158725,0.798333,0.532800,0.040625,0.00474612,0,55.42
10,0.118035,0.827600,0.703800,0.281250,0.00472239,1,55.39
11,0.110318,0.841733,0.698200,0.140625,0.00469878,0,55.44
12,0.111633,0.842033,0.773600,0.300000,0.00467529,1,55.48
13,0.110025,0.843533,0.524600,0.056250,0.00465191,0,55.43
14,0.094372,0.859533,0.816700,0.396875,0.00462865,1,55.44
15,0.095597,0.860833,0.731500,0.362500,0.00460551,0,55.70
16,0.090765,0.867400,0.624700,0.259375,0.00458248,0,55.42
17,0.089825,0.872167,0.770400,0.328125,0.00455957,0,55.46
18,0.088689,0.874967,0.667600,0.356250,0.00453677,0,55.54
19,0.085466,0.878467,0.832300,0.412500,0.00451409,1,55.48
20,0.081480,0.884567,0.792400,0.387500,0.00449152,0,55.49
21,0.080330,0.887300,0.755900,0.309375,0.00446906,0,55.39
22,0.076055,0.892567,0.817400,0.368750,0.00444671,0,55.44
23,0.065577,0.906400,0.647000,0.187500,0.00442448,0,55.42
24,0.064338,0.905533,0.768600,0.334375,0.00440236,0,55.51
25,0.064210,0.909333,0.733000,0.325000,0.00438035,0,55.41
26,0.067145,0.905000,0.860400,0.471875,0.00435844,1,55.53
27,0.064358,0.909833,0.726000,0.340625,0.00433665,0,55.68
28,0.067740,0.908967,0.898900,0.453125,0.00431497,0,55.48
29,0.052080,0.926333,0.574000,0.259375,0.00429339,0,55.39
30,0.051008,0.926633,0.570800,0.243750,0.00427193,0,55.56
31,0.053079,0.925333,0.556200,0.253125,0.00425057,0,55.41
32,0.049004,0.929467,0.691700,0.450000,0.00422931,0,55.46
33,0.048577,0.931000,0.899200,0.568750,0.00420817,1,55.34
34,0.046155,0.933367,0.897200,0.556250,0.00418713,0,55.80
35,0.042500,0.939767,0.682500,0.425000,0.00416619,0,55.30
36,0.044160,0.936000,0.527300,0.268750,0.00414536,0,55.50
37,0.039657,0.943133,0.913800,0.625000,0.00412463,1,55.33
38,0.037356,0.947867,0.915000,0.584375,0.00410401,0,55.46
39,0.036960,0.947733,0.877600,0.640625,0.00408349,1,55.39
40,0.036679,0.948933,0.911600,0.568750,0.00406307,0,55.48
41,0.036006,0.948933,0.900100,0.615625,0.00404276,0,55.39
42,0.034303,0.952467,0.702100,0.390625,0.00402254,0,55.47
43,0.033517,0.954033,0.923800,0.615625,0.00400243,0,55.43
44,0.032735,0.954667,0.923300,0.656250,0.00398242,1,55.46
45,0.028982,0.959767,0.798000,0.534375,0.00396251,0,55.65
46,0.027002,0.963767,0.918800,0.603125,0.00394269,0,55.46
47,0.028689,0.961833,0.767600,0.581250,0.00392298,0,55.35
48,0.026851,0.963967,0.751900,0.531250,0.00390337,0,55.41
49,0.027674,0.962900,0.883600,0.600000,0.00388385,0,55.35
50,0.027805,0.962500,0.869700,0.600000,0.00386443,0,55.41
51,0.024546,0.967433,0.912200,0.659375,0.00384511,1,55.45
52,0.022885,0.969600,0.927200,0.662500,0.00382588,1,55.72
53,0.024428,0.967533,0.931500,0.646875,0.00380675,0,55.63
54,0.023080,0.969467,0.938300,0.668750,0.00378772,1,55.43
55,0.022368,0.970733,0.936800,0.659375,0.00376878,0,55.31
56,0.021645,0.972733,0.940000,0.668750,0.00374994,0,55.42
57,0.019589,0.974967,0.927000,0.659375,0.00373119,0,55.32
58,0.020986,0.973533,0.939600,0.690625,0.00371253,1,55.42
59,0.019423,0.975167,0.924300,0.675000,0.00369397,0,55.31
60,0.020568,0.973733,0.939100,0.665625,0.00367550,0,55.43
61,0.019154,0.974633,0.931600,0.678125,0.00365712,0,55.30
62,0.019237,0.974633,0.913700,0.718750,0.00363883,1,55.40
63,0.018629,0.976933,0.942000,0.684375,0.00362064,0,55.28
64,0.018373,0.977000,0.918700,0.681250,0.00360254,0,55.34
65,0.017413,0.977867,0.935800,0.656250,0.00358452,0,55.30
66,0.017829,0.977633,0.941000,0.715625,0.00356660,0,55.42
67,0.017957,0.977667,0.913100,0.625000,0.00354877,0,55.34
68,0.016029,0.979900,0.946200,0.703125,0.00353103,0,55.44
69,0.018463,0.977100,0.937900,0.678125,0.00351337,0,55.31
70,0.015665,0.980933,0.944500,0.725000,0.00349580,1,55.34
71,0.015207,0.982833,0.945200,0.734375,0.00347832,1,55.39
72,0.014522,0.983100,0.944500,0.718750,0.00346093,0,55.37
73,0.014235,0.981967,0.941700,0.728125,0.00344363,0,55.37
74,0.013956,0.984167,0.947200,0.734375,0.00342641,0,55.33
