epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
93,0.013472,0.985600,0.923800,0.737500,0.00366605,0,57.33
94,0.010940,0.987500,0.941600,0.725000,0.00364772,0,57.60
95,0.012019,0.986933,0.940600,0.731250,0.00362948,0,57.47
96,0.009543,0.989567,0.923600,0.746875,0.00361133,1,58.37
97,0.012108,0.986033,0.948200,0.725000,0.00359328,0,57.76
98,0.009617,0.989467,0.939400,0.712500,0.00357531,0,57.82
99,0.010702,0.988533,0.947400,0.725000,0.00355743,0,57.06
100,0.009734,0.989400,0.945700,0.737500,0.00353965,0,59.02
101,0.010038,0.989467,0.920200,0.718750,0.00352195,0,57.21
102,0.009666,0.989200,0.958500,0.753125,0.00350434,1,57.59
103,0.009508,0.988933,0.947900,0.771875,0.00348682,1,58.54
104,0.009981,0.989833,0.901100,0.740625,0.00346938,0,57.80
105,0.010155,0.989300,0.947000,0.756250,0.00345204,0,58.51
106,0.010709,0.987567,0.951600,0.737500,0.00343478,0,56.87
107,0.009724,0.989233,0.944600,0.734375,0.00341760,0,57.61
108,0.009777,0.988633,0.954900,0.734375,0.00340052,0,58.08
109,0.009008,0.989400,0.942800,0.750000,0.00338351,0,57.45
110,0.009910,0.989367,0.952000,0.734375,0.00336659,0,57.62
111,0.008906,0.990467,0.939500,0.737500,0.00334976,0,58.70
112,0.007695,0.991433,0.938700,0.734375,0.00333301,0,58.12
113,0.007704,0.990933,0.949900,0.768750,0.00331635,0,57.83
114,0.008765,0.990700,0.954300,0.750000,0.00329977,0,58.37
115,0.008193,0.990767,0.957600,0.750000,0.00328327,0,57.31
116,0.008050,0.991333,0.911900,0.768750,0.00326685,0,58.59
117,0.009953,0.989133,0.938600,0.746875,0.00325052,0,57.20
118,0.009923,0.989267,0.947200,0.753125,0.00323426,0,57.48
119,0.007489,0.991800,0.940800,0.750000,0.00321809,0,57.62
120,0.008027,0.991300,0.937600,0.753125,0.00320200,0,58.45
121,0.008204,0.990567,0.953100,0.728125,0.00318599,0,57.76
122,0.007749,0.991633,0.938900,0.746875,0.00317006,0,57.67
123,0.007995,0.991533,0.933500,0.725000,0.00315421,0,57.35
124,0.007588,0.991967,0.925700,0.750000,0.00313844,0,57.59
125,0.007801,0.992133,0.920200,0.756250,0.00312275,0,57.25
126,0.008065,0.991167,0.940800,0.725000,0.00310714,0,58.58
127,0.008294,0.991667,0.948800,0.725000,0.00309160,0,57.34
128,0.007447,0.992700,0.932800,0.731250,0.00307614,0,57.19
129,0.007972,0.991733,0.929200,0.743750,0.00306076,0,58.90
130,0.008415,0.990867,0.949300,0.762500,0.00304546,0,59.28
131,0.007929,0.991467,0.952800,0.734375,0.00303023,0,58.11
132,0.007601,0.992767,0.942000,0.740625,0.00301508,0,58.16
133,0.006833,0.993267,0.933500,0.756250,0.00300000,0,58.39
134,0.007067,0.992433,0.942700,0.750000,0.00298500,0,58.14
135,0.008130,0.992433,0.933200,0.731250,0.00297008,0,58.31
136,0.006919,0.991933,0.930000,0.750000,0.00295523,0,58.29
137,0.007546,0.992333,0.880600,0.746875,0.00294045,0,59.03
138,0.007223,0.991567,0.954600,0.775000,0.00292575,1,57.41
139,0.006504,0.993400,0.938100,0.721875,0.00291112,0,58.10
140,0.006479,0.993233,0.941400,0.709375,0.00289657,0,57.51
141,0.006485,0.993133,0.918000,0.781250,0.00288208,1,57.32
142,0.006937,0.992733,0.931900,0.778125,0.00286767,0,59.23
143,0.007242,0.993233,0.925800,0.768750,0.00285333,0,58.54
144,0.006543,0.993533,0.939400,0.759375,0.00283907,0,57.54
145,0.006379,0.992667,0.947100,0.771875,0.00282487,0,57.76
146,0.006877,0.993067,0.946800,0.731250,0.00281075,0,58.14
147,0.007220,0.993100,0.931400,0.743750,0.00279669,0,58.14
148,0.007385,0.993133,0.949000,0.746875,0.00278271,0,57.41
149,0.005926,0.994367,0.939900,0.756250,0.00276880,0,57.64
150,0.007406,0.992700,0.944100,0.731250,0.00275495,0,58.39
151,0.005453,0.994433,0.939600,0.746875,0.00274118,0,59.81
152,0.005327,0.994933,0.933200,0.759375,0.00272747,0,57.56
153,0.006868,0.993400,0.923400,0.756250,0.00271383,0,58.58
154,0.007302,0.993033,0.916600,0.743750,0.00270027,0,58.98
155,0.005900,0.994467,0.937300,0.771875,0.00268676,0,57.75
156,0.005995,0.994733,0.937700,0.737500,0.00267333,0,58.19
157,0.005879,0.993967,0.936200,0.762500,0.00265996,0,59.30
158,0.005788,0.994167,0.945600,0.765625,0.00264666,0,57.92
159,0.005626,0.994167,0.932300,0.771875,0.00263343,0,58.75
160,0.006525,0.993933,0.930700,0.759375,0.00262026,0,58.60
161,0.005385,0.994500,0.953000,0.737500,0.00260716,0,59.45
162,0.005559,0.994633,0.937000,0.734375,0.00259413,0,57.56
163,0.005593,0.994733,0.922400,0.762500,0.00258116,0,59.03
164,0.005475,0.994367,0.930000,0.762500,0.00256825,0,58.40
165,0.005544,0.994367,0.941500,0.750000,0.00255541,0,58.01
166,0.006000,0.994067,0.946600,0.765625,0.00254263,0,57.68
167,0.006424,0.993500,0.932100,0.759375,0.00252992,0,59.47
168,0.005735,0.994133,0.947800,0.737500,0.00251727,0,58.64
169,0.005410,0.994700,0.941500,0.734375,0.00250468,0,58.00
170,0.005064,0.995433,0.925300,0.746875,0.00249216,0,57.71
171,0.005654,0.994467,0.935300,0.775000,0.00247970,0,58.57
172,0.005687,0.994067,0.932200,0.756250,0.00246730,0,57.52
173,0.006056,0.994100,0.939100,0.756250,0.00245496,0,57.81
174,0.006070,0.994567,0.927700,0.775000,0.00244269,0,59.20
175,0.006548,0.994133,0.921400,0.775000,0.00243047,0,58.43
176,0.005088,0.994767,0.947100,0.759375,0.00241832,0,58.48
177,0.005610,0.994500,0.940800,0.753125,0.00240623,0,57.98
178,0.004745,0.995633,0.934600,0.750000,0.00239420,0,59.01
179,0.005273,0.994900,0.941600,0.740625,0.00238223,0,58.48
180,0.005632,0.994767,0.941000,0.743750,0.00237032,0,57.80
181,0.005609,0.994533,0.921300,0.762500,0.00235847,0,58.35
