epoch,train_loss,train_acc,val_acc,lr
1,7.126130,0.0037,0.0072,0.001000
2,6.109688,0.0180,0.0055,0.000995
3,5.559756,0.0338,0.0576,0.000990
4,5.202042,0.0509,0.0528,0.000985
5,4.929858,0.0598,0.0365,0.000980
6,4.740055,0.0763,0.0924,0.000975
7,4.572608,0.0886,0.1665,0.000970
8,4.436256,0.1019,0.2363,0.000966
9,4.313089,0.1121,0.0864,0.000961
10,4.195605,0.1176,0.2209,0.000956
11,4.085718,0.1313,0.0690,0.000951
12,3.951103,0.1420,0.2683,0.000946
13,3.856957,0.1552,0.2495,0.000942
14,3.759256,0.1651,0.3423,0.000937
15,3.646853,0.1792,0.3005,0.000932
16,3.553606,0.1918,0.3219,0.000928
17,3.498230,0.1945,0.3452,0.000923
18,3.392378,0.2131,0.3369,0.000918
19,3.272848,0.2316,0.3637,0.000914
20,3.167435,0.2460,0.2996,0.000909
21,3.049904,0.2670,0.4251,0.000905
22,2.957281,0.2768,0.4652,0.000900
23,2.805964,0.3080,0.5570,0.000896
24,2.719211,0.3188,0.5419,0.000891
25,2.596542,0.3409,0.5347,0.000887
26,2.496817,0.3661,0.5524,0.000882
27,2.391283,0.3814,0.4484,0.000878
28,2.313074,0.3912,0.4640,0.000873
29,2.197547,0.4243,0.5397,0.000869
30,2.082060,0.4449,0.6109,0.000865
31,1.982973,0.4638,0.5662,0.000860
32,1.897381,0.4844,0.6195,0.000856
33,1.816449,0.4964,0.6805,0.000852
34,1.755306,0.5138,0.6360,0.000848
35,1.670757,0.5347,0.7030,0.000843
36,1.573273,0.5529,0.5995,0.000839
37,1.496670,0.5737,0.6764,0.000835
38,1.462979,0.5830,0.6975,0.000831
39,1.406990,0.5972,0.6539,0.000827
40,1.345398,0.6118,0.7193,0.000822
41,1.286395,0.6214,0.7104,0.000818
42,1.228433,0.6382,0.6342,0.000814
43,1.175037,0.6486,0.7106,0.000810
44,1.142522,0.6634,0.7287,0.000806
45,1.085105,0.6764,0.7415,0.000802
46,1.043649,0.6867,0.7289,0.000798
