epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
1,1.304727,0.639200,0.648600,0.156250,0.00124156,1,59.17
2,0.156895,0.773267,0.756500,0.268750,0.00347638,1,58.34
3,0.145491,0.774400,0.673000,0.178125,0.00571120,0,57.94
4,0.223289,0.745233,0.704500,0.196875,0.00794601,0,57.10
5,0.280867,0.746467,0.746000,0.221875,0.01018083,0,57.62
6,0.193388,0.786233,0.775300,0.300000,0.01012992,1,57.38
7,0.163409,0.811533,0.677900,0.156250,0.01007927,0,58.85
8,0.140867,0.835033,0.820100,0.368750,0.01002888,1,58.41
9,0.105135,0.857600,0.644100,0.140625,0.00997873,0,58.03
10,0.086883,0.876867,0.881200,0.437500,0.00992884,1,59.05
11,0.083526,0.883667,0.881300,0.490625,0.00987919,1,57.64
12,0.084417,0.885133,0.723800,0.259375,0.00982980,0,58.17
13,0.075184,0.892667,0.872500,0.496875,0.00978065,1,58.64
14,0.075709,0.893900,0.755900,0.434375,0.00973175,0,58.65
15,0.063148,0.910467,0.900900,0.534375,0.00968309,1,59.66
16,0.062849,0.912000,0.886800,0.571875,0.00963467,1,59.40
17,0.055138,0.919167,0.916800,0.531250,0.00958650,0,58.13
18,0.061332,0.916433,0.886300,0.503125,0.00953857,0,57.04
19,0.056196,0.919000,0.913800,0.546875,0.00949087,0,59.77
20,0.054062,0.925633,0.894600,0.534375,0.00944342,0,57.41
21,0.046335,0.936333,0.925700,0.603125,0.00939620,1,57.46
22,0.043292,0.940633,0.931900,0.590625,0.00934922,0,59.04
23,0.040480,0.943233,0.931800,0.615625,0.00930247,1,59.62
24,0.038900,0.946300,0.928100,0.612500,0.00925596,0,58.52
25,0.037223,0.947533,0.925700,0.612500,0.00920968,0,57.61
26,0.039775,0.946600,0.938200,0.631250,0.00916363,1,57.38
27,0.035142,0.950867,0.936200,0.656250,0.00911782,1,56.91
28,0.034650,0.952933,0.927700,0.678125,0.00907223,1,56.27
29,0.032275,0.956567,0.939400,0.656250,0.00902687,0,56.58
30,0.029763,0.959200,0.946800,0.681250,0.00898173,1,56.34
31,0.029719,0.959433,0.937600,0.678125,0.00893682,0,56.38
32,0.029568,0.960600,0.941200,0.684375,0.00889214,1,56.02
33,0.027045,0.964067,0.929100,0.650000,0.00884768,0,56.18
34,0.027895,0.962700,0.941900,0.715625,0.00880344,1,56.13
35,0.025564,0.966767,0.947000,0.718750,0.00875942,1,56.27
36,0.025723,0.966433,0.945400,0.734375,0.00871562,1,56.16
37,0.023804,0.969867,0.939300,0.693750,0.00867205,0,56.24
38,0.021846,0.971300,0.954300,0.725000,0.00862869,0,56.35
39,0.021710,0.970967,0.946500,0.681250,0.00858554,0,56.16
40,0.021698,0.971100,0.950300,0.731250,0.00854262,0,56.28
41,0.022537,0.971933,0.956200,0.762500,0.00849990,1,56.28
42,0.019408,0.974933,0.948100,0.753125,0.00845740,0,56.36
43,0.019440,0.975033,0.949600,0.712500,0.00841512,0,56.19
44,0.018126,0.976133,0.948800,0.743750,0.00837304,0,56.21
45,0.017450,0.977400,0.952300,0.756250,0.00833117,0,56.34
46,0.016850,0.978733,0.955000,0.715625,0.00828952,0,56.10
47,0.017823,0.977800,0.947800,0.709375,0.00824807,0,56.31
48,0.016522,0.978833,0.944700,0.746875,0.00820683,0,56.20
49,0.014636,0.981333,0.950200,0.725000,0.00816580,0,56.18
50,0.016660,0.979167,0.957400,0.762500,0.00812497,0,56.18
51,0.014349,0.981533,0.952600,0.768750,0.00808434,1,56.17
52,0.015396,0.980333,0.957300,0.762500,0.00804392,0,56.26
53,0.014521,0.981400,0.951700,0.753125,0.00800370,0,56.12
54,0.014650,0.981867,0.952200,0.756250,0.00796368,0,56.10
55,0.015010,0.981333,0.958500,0.746875,0.00792386,0,56.26
56,0.013937,0.983333,0.956000,0.731250,0.00788425,0,56.32
57,0.011436,0.985833,0.948700,0.718750,0.00784482,0,56.33
58,0.013560,0.984067,0.957800,0.746875,0.00780560,0,56.13
59,0.012245,0.985433,0.954500,0.759375,0.00776657,0,56.41
60,0.011347,0.986200,0.952100,0.718750,0.00772774,0,56.03
61,0.012993,0.984800,0.949800,0.728125,0.00768910,0,56.20
62,0.012429,0.985533,0.959700,0.784375,0.00765065,1,56.22
63,0.011043,0.987700,0.959600,0.778125,0.00761240,0,56.40
