epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
1,1.379525,0.633900,0.643000,0.090625,0.00075075,1,58.24
2,0.147002,0.759167,0.747500,0.203125,0.00210209,1,57.39
3,0.136713,0.766267,0.571100,0.056250,0.00345344,0,57.18
4,0.176589,0.736667,0.551700,0.050000,0.00480479,0,57.28
5,0.174578,0.754333,0.576000,0.043750,0.00615613,0,59.02
6,0.149786,0.776600,0.774800,0.212500,0.00612535,1,60.63
7,0.110935,0.818233,0.692700,0.228125,0.00609473,1,56.96
8,0.099782,0.840800,0.671500,0.171875,0.00606425,0,56.48
9,0.087668,0.861433,0.782600,0.331250,0.00603393,1,57.39
10,0.083522,0.869900,0.821600,0.303125,0.00600376,0,55.78
11,0.078453,0.878733,0.851400,0.412500,0.00597374,1,55.36
12,0.070233,0.893067,0.722600,0.331250,0.00594387,0,55.32
13,0.066701,0.898867,0.847700,0.412500,0.00591415,0,55.58
14,0.063019,0.907133,0.861700,0.412500,0.00588458,0,57.84
15,0.061705,0.909667,0.877900,0.521875,0.00585516,1,55.68
16,0.058515,0.917233,0.887100,0.509375,0.00582588,0,55.57
17,0.054533,0.919933,0.892200,0.540625,0.00579676,1,55.48
18,0.053376,0.924767,0.867100,0.578125,0.00576777,1,55.29
19,0.050517,0.927800,0.883300,0.565625,0.00573893,0,55.43
20,0.049719,0.930600,0.882600,0.515625,0.00571024,0,55.30
21,0.046812,0.934733,0.911600,0.543750,0.00568169,0,55.46
22,0.045518,0.936800,0.891700,0.559375,0.00565328,0,55.29
23,0.042810,0.943767,0.928000,0.587500,0.00562501,1,55.70
24,0.039669,0.946300,0.921800,0.575000,0.00559689,0,55.62
25,0.037992,0.948100,0.921600,0.634375,0.00556890,1,55.67
26,0.038687,0.948533,0.931000,0.646875,0.00554106,1,55.56
27,0.034873,0.954500,0.848400,0.628125,0.00551335,0,55.72
28,0.034363,0.954400,0.933000,0.646875,0.00548579,0,55.56
29,0.031697,0.960100,0.934700,0.650000,0.00545836,1,62.10
30,0.030061,0.960600,0.940100,0.640625,0.00543107,0,73.58
31,0.029771,0.960767,0.927000,0.596875,0.00540391,0,57.30
32,0.027588,0.965067,0.943100,0.696875,0.00537689,1,62.35
33,0.027530,0.964233,0.942400,0.700000,0.00535001,1,59.99
34,0.025801,0.967200,0.951400,0.728125,0.00532326,1,56.89
35,0.026068,0.967133,0.953500,0.690625,0.00529664,0,57.04
36,0.025096,0.969700,0.947700,0.681250,0.00527016,0,57.43
37,0.023082,0.971167,0.942100,0.706250,0.00524381,0,56.82
38,0.021977,0.972400,0.938900,0.703125,0.00521759,0,57.39
39,0.020900,0.975000,0.939100,0.728125,0.00519150,0,58.47
40,0.021876,0.972733,0.945100,0.693750,0.00516554,0,56.84
41,0.020488,0.974700,0.954100,0.712500,0.00513971,0,57.18
42,0.019057,0.977733,0.948700,0.687500,0.00511401,0,58.06
43,0.019008,0.976867,0.943000,0.712500,0.00508844,0,61.77
44,0.018756,0.977467,0.950200,0.709375,0.00506300,0,59.11
45,0.016815,0.980300,0.948700,0.675000,0.00503769,0,59.40
46,0.017018,0.980100,0.952200,0.681250,0.00501250,0,57.62
47,0.017992,0.979467,0.951800,0.684375,0.00498744,0,56.86
48,0.016492,0.981133,0.946700,0.709375,0.00496250,0,57.75
49,0.016366,0.980200,0.946400,0.706250,0.00493769,0,57.79
50,0.016492,0.980867,0.935900,0.731250,0.00491300,1,57.48
51,0.015913,0.981033,0.953400,0.718750,0.00488843,0,56.92
52,0.014854,0.982000,0.952300,0.734375,0.00486399,1,57.27
53,0.015738,0.981367,0.940500,0.687500,0.00483967,0,57.34
54,0.014796,0.983367,0.956000,0.706250,0.00481547,0,56.96
55,0.014297,0.983533,0.954500,0.718750,0.00479140,0,56.29
56,0.014669,0.984033,0.951500,0.693750,0.00476744,0,56.30
57,0.013199,0.985467,0.949800,0.721875,0.00474360,0,56.16
58,0.014694,0.983300,0.943600,0.709375,0.00471988,0,56.23
59,0.014624,0.983333,0.944300,0.721875,0.00469628,0,56.26
60,0.013843,0.983700,0.952500,0.712500,0.00467280,0,56.21
61,0.013836,0.983400,0.946600,0.662500,0.00464944,0,56.32
62,0.014069,0.983367,0.946400,0.737500,0.00462619,1,55.95
63,0.013471,0.984633,0.955300,0.709375,0.00460306,0,56.27
64,0.013258,0.985433,0.954700,0.750000,0.00458005,1,56.29
65,0.012620,0.986200,0.956700,0.709375,0.00455714,0,56.30
66,0.013590,0.984567,0.947200,0.728125,0.00453436,0,56.16
67,0.014317,0.983467,0.949000,0.728125,0.00451169,0,56.00
68,0.012955,0.985800,0.951700,0.728125,0.00448913,0,56.12
69,0.012035,0.986067,0.955000,0.737500,0.00446668,0,55.80
70,0.011977,0.986267,0.949800,0.731250,0.00444435,0,55.27
71,0.012335,0.986533,0.951700,0.740625,0.00442213,0,55.41
72,0.012505,0.985567,0.951900,0.771875,0.00440002,1,55.24
73,0.012576,0.986767,0.954100,0.750000,0.00437802,0,55.37
74,0.010547,0.988100,0.948500,0.712500,0.00435613,0,55.35
75,0.012762,0.986133,0.950700,0.703125,0.00433435,0,55.43
76,0.011273,0.987933,0.954600,0.728125,0.00431267,0,55.47
77,0.011684,0.987400,0.949500,0.700000,0.00429111,0,55.68
78,0.011659,0.987467,0.954400,0.734375,0.00426966,0,55.68
79,0.011210,0.987267,0.952000,0.693750,0.00424831,0,55.71
80,0.010978,0.987200,0.947300,0.718750,0.00422707,0,55.67
81,0.012304,0.985767,0.945300,0.740625,0.00420593,0,55.81
82,0.011625,0.986967,0.950600,0.728125,0.00418490,0,55.61
83,0.010375,0.988467,0.937200,0.671875,0.00416398,0,55.67
84,0.011446,0.987033,0.954100,0.740625,0.00414316,0,55.61
85,0.011217,0.987933,0.941800,0.737500,0.00412244,0,55.59
86,0.011343,0.987867,0.950200,0.750000,0.00410183,0,55.61
87,0.011949,0.986633,0.949500,0.775000,0.00408132,1,55.65
88,0.011457,0.987367,0.954800,0.746875,0.00406091,0,55.45
89,0.009560,0.989567,0.949800,0.728125,0.00404061,0,55.60
